request,rtt_ms,db_latency_ms,non_db_delay_ms
357,5.3,0.27,5.03
358,3.45,0.19,3.26
359,6.61,0.35,6.26
360,4.37,0.15,4.22
361,4.86,0.38,4.48
362,6.53,0.27,6.26
363,7.02,0.23,6.79
364,6.6,0.34,6.26
365,4.07,0.12,3.95
366,4.69,0.23,4.46
367,4.46,0.15,4.31
368,3.86,0.16,3.7
369,4.63,0.17,4.46
370,11.28,0.29,10.99
371,4.56,0.21,4.35
372,3.44,0.25,3.19
373,3.68,0.28,3.4
374,5.15,0.4,4.75
375,5.42,0.21,5.21
376,9.63,0.85,8.78
377,4.58,0.15,4.43
378,4.98,0.19,4.79
379,5.29,0.23,5.06
380,5.5,0.18,5.32
381,6.22,0.27,5.95
382,11.28,0.23,11.05
383,4.27,0.19,4.08
384,5.12,0.26,4.86
385,3.89,0.18,3.71
386,5.37,0.25,5.12
387,7.09,0.23,6.86
388,6.59,0.26,6.33
389,4.56,0.15,4.41
390,5.59,0.22,5.37
391,4.43,0.15,4.28
392,4.29,0.14,4.15
393,3.6,0.14,3.46
394,5.01,0.24,4.77
395,6.91,0.43,6.48
396,7.54,0.35,7.19
397,4.92,0.16,4.76
398,3.04,0.13,2.91
399,3.06,0.12,2.94
400,8.97,0.38,8.59
401,6.59,0.17,6.42
402,7.5,0.26,7.24
403,3.27,0.11,3.16
404,6.94,0.37,6.57
405,7.19,0.26,6.93
406,3.46,0.21,3.25
407,6.07,0.21,5.86
408,5.41,0.28,5.13
409,3.89,0.14,3.75
410,3.77,0.2,3.57
411,4.11,0.23,3.88
412,6.59,0.35,6.24
413,6.73,0.3,6.43
414,12.2,0.58,11.62
415,6.3,0.25,6.05
416,6.95,0.31,6.64
417,5.03,0.17,4.86
418,10.62,0.6,10.02
419,4.29,0.14,4.15
420,7.12,0.38,6.74
421,5.16,0.37,4.79
422,3.05,0.13,2.92
423,2.97,0.14,2.83
424,9.11,0.43,8.68
425,6.83,0.23,6.6
426,6.31,0.28,6.03
427,5.27,0.32,4.95
428,4.71,0.19,4.52
429,4.71,0.24,4.47
430,3.93,0.32,3.61
431,5.13,0.27,4.86
432,4.93,0.21,4.72
433,4.12,0.25,3.87
434,3.31,0.14,3.17
435,4.0,0.18,3.82
436,7.85,0.66,7.19
437,4.63,0.35,4.28
438,5.71,0.16,5.55
439,8.98,1.34,7.64
440,8.13,0.56,7.57
441,7.4,0.45,6.95
442,6.31,0.23,6.08
443,8.43,0.44,7.99
444,5.68,0.21,5.47
445,7.82,0.55,7.27
446,4.85,0.3,4.55
447,6.41,0.17,6.24
448,10.37,0.24,10.13
449,4.45,0.19,4.26
450,2.78,0.14,2.64
451,2.67,0.14,2.53
452,4.76,0.22,4.54
453,3.45,0.14,3.31
454,3.17,0.13,3.04
455,7.18,0.27,6.91
456,4.25,0.16,4.09
457,5.29,0.3,4.99
458,8.48,0.43,8.05
459,6.71,0.18,6.53
460,10.74,0.59,10.15
461,5.91,0.31,5.6
462,8.15,0.53,7.62
463,4.29,0.16,4.13
464,2.63,0.11,2.52
465,6.66,0.28,6.38
466,11.01,0.27,10.74
467,7.53,0.39,7.14
468,4.75,0.2,4.55
469,3.84,0.21,3.63
470,4.48,0.16,4.32
471,6.47,0.2,6.27
472,5.42,0.22,5.2
473,5.06,0.2,4.86
474,4.98,0.18,4.8
475,3.94,0.15,3.79
476,4.99,0.3,4.69
477,5.38,0.31,5.07
478,5.87,0.26,5.61
479,3.85,0.16,3.69
480,3.13,0.14,2.99
481,3.63,0.14,3.49
482,3.68,0.14,3.54
483,3.92,0.15,3.77
484,3.99,0.17,3.82
485,4.41,0.2,4.21
486,3.85,0.16,3.69
487,8.74,0.54,8.2
488,4.71,0.35,4.36
